"Yard.Code","SR_total","SR_mig_2024","SR_mig_2025","SR_mig","SR_breed_2024","SR_breed_2025","SR_breed"
"Y03",9,3,6,8,4,2,4
"Y33",9,4,2,5,6,0,6
"Y45",3,1,1,2,1,3,3
"Y18",27,9,16,23,7,4,10
"Y04",6,0,5,5,2,0,2
"Y26",6,2,2,3,5,3,6
"Y13",13,5,11,13,2,1,2
"Y32",5,2,1,2,4,3,5
"Y06",4,0,0,0,3,1,4
"Y20",6,3,2,5,3,0,3
"Y05",6,4,4,6,2,2,3
"Y25",4,1,NA,1,3,NA,3
"Y49",8,5,4,8,2,5,5
"Y27",6,1,3,3,4,0,4
"Y28",16,2,14,15,4,2,4
"Y31",9,0,7,7,5,1,5
"Y07",5,0,1,1,4,1,4
"Y44",6,1,3,4,1,1,2
"Y47",13,2,8,9,5,2,7
"Y24",4,1,3,3,2,1,3
"Y09",2,1,1,2,1,1,2
"Y50",8,NA,8,8,NA,1,1
