"Code","HOFI","BCCH","REVI","SOSP","NOCA","AMRO","EUST","HAWO","AMCR","NA","LEFL","Unknown","YEWA","HOSP","CHSP"
"Y28",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y44",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Y03",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Y31",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y18",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"Y04",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Y06",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Y26",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"Y09",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Y49",1,0,0,0,1,0,1,0,0,1,0,1,0,1,1
"Y47",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Y50",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Y13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y05",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Y20",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y07",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Y27",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y33",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Y32",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"Y45",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
